nom,id,nom,match,"﻿""mcode""",population,établissements,eta per capita,habitant par éta
Sainte-Thérèse-de-Gaspé,3608244715,saintetheresedegaspe,Sainte-Thérèse-de-Gaspé,2010,1013,1,"0,000987166831194472",1013
Sainte-Julie,3607903245,saintejulie,Sainte-Julie,59010,30391,30,"0,000987134348984897","1013,03333333333"
Batiscan,3607711547,batiscan,Batiscan,37210,1028,1,"0,000972762645914397",1028
Carleton-sur-Mer,3608271765,carletonsurmer,Carleton-sur-Mer,6013,4141,4,"0,000965950253561942","1035,25"
Châteauguay,3607785155,chateauguay,Châteauguay,67050,50927,49,"0,000962161525320557","1039,32653061224"
Sainte-Anne-de-la-Pérade,3608277355,sainteannedelaperade,Sainte-Anne-de-la-Pérade,37205,2081,2,"0,000961076405574243","1040,5"
Sainte-Pétronille,3608099223,saintepetronille,Sainte-Pétronille,20030,1041,1,"0,000960614793467819",1041
Lebel-sur-Quévillon,3608477445,lebelsurquevillon,Lebel-sur-Quévillon,99005,2085,2,"0,000959232613908873","1042,5"
Saint-Michel-du-Squatec,3608228985,saintmicheldusquatec,Saint-Michel-du-Squatec,13065,1043,1,"0,000958772770853308",1043
Notre-Dame-des-Neiges,3608228422,notredamedesneiges,Notre-Dame-des-Neiges,11045,1049,1,"0,000953288846520496",1049
Grande-Vallée,3608237873,grandevallee,Grande-Vallée,3020,1051,1,"0,000951474785918173",1051
Boisbriand,3607703994,boisbriand,Boisbriand,73005,29530,28,"0,00094818828310193","1054,64285714286"
Brossard,3602812764,brossard,Brossard,58007,97292,89,"0,000914772026476997","1093,16853932584"
Roberval,3608160826,roberval,Roberval,91025,9888,9,"0,000910194174757282","1098,66666666667"
Cookshire-Eaton,3607953239,cookshireeaton,Cookshire-Eaton,41038,5523,5,"0,000905305087814594","1104,6"
Wendake,3607701011,wendake,Wendake,23802,2230,2,"0,000896860986547085",1115
Saint-Zénon,3607707046,saintzenon,Saint-Zénon,62080,1116,1,"0,000896057347670251",1116
Les Coteaux,3607696248,lescoteaux,Les Coteaux,71033,5593,5,"0,000893974611121044","1118,6"
Kahnawà:ke,3607064823,kahnawake,Kahnawake,67802,10114,9,"0,000889855645639707","1123,77777777778"
Saint-Pierre-les-Becquets,3608042835,saintpierrelesbecquets,Saint-Pierre-les-Becquets,38065,1126,1,"0,00088809946714032",1126
Berthierville,3607710968,berthierville,Berthierville,52035,4518,4,"0,000885347498893316","1129,5"
Saint-Hilarion,3607717118,sainthilarion,Saint-Hilarion,16050,1131,1,"0,000884173297966401",1131
Havre-Saint-Pierre,3607734513,havresaintpierre,Havre-Saint-Pierre,98040,3396,3,"0,00088339222614841",1132
Sainte-Agathe-de-Lotbinière,3608110671,sainteagathedelotbiniere,Sainte-Agathe-de-Lotbinière,33017,1149,1,"0,000870322019147084",1149
Hinchinbrooke,3607743226,hinchinbrooke,Hinchinbrooke,69045,2303,2,"0,000868432479374729","1151,5"
Sainte-Agathe-des-Monts,3607692507,sainteagathedesmonts,Sainte-Agathe-des-Monts,78032,11537,10,"0,000866776458351391","1153,7"
Saint-Louis-de-Blandford,3607997254,saintlouisdeblandford,Saint-Louis-de-Blandford,39170,1157,1,"0,000864304235090752",1157
Grand-Remous,3607358186,grandremous,Grand-Remous,83095,1158,1,"0,000863557858376511",1158
Trois-Rivières,3607711553,troisrivieres,Trois-Rivières,37067,138134,119,"0,00086148232875324","1160,78991596639"
Gaspé,3608237761,gaspe,Gaspé,3005,15182,13,"0,000856277170333289","1167,84615384615"
Lac-Bouchette,3608160578,lacbouchette,Lac-Bouchette,91005,1169,1,"0,000855431993156544",1169
Magog,3607953117,magog,Magog,45072,28300,24,"0,000848056537102474","1179,16666666667"
Chambly,3607903230,chambly,Chambly,57005,31450,26,"0,00082670906200318","1209,61538461538"
