nom,id,nom,match,"﻿""mcode"""
Saint-Augustin-de-Desmaures,3607716091,saintaugustindedesmaures,Saint-Augustin-de-Desmaures,23072
L'Ancienne-Lorette,3607716093,lanciennelorette,L'Ancienne-Lorette,23057
Stoneham-et-Tewkesbury,3607716425,stonehamettewkesbury,Stoneham-et-Tewkesbury,22035
Sainte-Brigitte-de-Laval,3607716426,saintebrigittedelaval,Sainte-Brigitte-de-Laval,22045
Lac-Beauport,3607716427,lacbeauport,Lac-Beauport,22040
Lac-Delage,3607716428,lacdelage,Lac-Delage,22030
Saint-Gabriel-de-Valcartier,3607716429,saintgabrieldevalcartier,Saint-Gabriel-de-Valcartier,22025
Shannon,3607716430,shannon,Shannon,22020
Lac-Saint-Joseph,3607716431,lacsaintjoseph,Lac-Saint-Joseph,22015
Fossambault-sur-le-Lac,3607716432,fossambaultsurlelac,Fossambault-sur-le-Lac,22010
Sainte-Catherine-de-la-Jacques-Cartier,3607716433,saintecatherinedelajacquescartier,Sainte-Catherine-de-la-Jacques-Cartier,22005
Lac-Édouard,3607716488,lacedouard,Lac-Édouard,90027
La Bostonnais,3607716489,labostonnais,La Bostonnais,90017
Saint-Tite-des-Caps,3607717046,sainttitedescaps,Saint-Tite-des-Caps,21005
Saint-Louis-de-Gonzague-du-Cap-Tourmente,3607717048,saintlouisdegonzagueducaptourmente,Saint-Louis-de-Gonzague-du-Cap-Tourmente,21015
Saint-Ferréol-les-Neiges,3607717049,saintferreollesneiges,Saint-Ferréol-les-Neiges,21010
Beaupré,3607717050,beaupre,Beaupré,21025
Sainte-Anne-de-Beaupré,3607717051,sainteannedebeaupre,Sainte-Anne-de-Beaupré,21030
Château-Richer,3607717052,chateauricher,Château-Richer,21035
L'Ange-Gardien,3607717053,langegardien,L'Ange-Gardien,21040
Boischatel,3607717054,boischatel,Boischatel,21045
Baie-Sainte-Catherine,3607717110,baiesaintecatherine,Baie-Sainte-Catherine,15065
Saint-Siméon,3607717111,saintsimeon,Saint-Siméon,15058
Saint-Irénée,3607717112,saintirenee,Saint-Irénée,15005
Clermont,3607717113,clermont,Clermont,87110
La Malbaie,3607717114,lamalbaie,La Malbaie,15013
Saint-Aimé-des-Lacs,3607717115,saintaimedeslacs,Saint-Aimé-des-Lacs,15030
Notre-Dame-des-Monts,3607717116,notredamedesmonts,Notre-Dame-des-Monts,15025
Saint-Hilarion,3607717118,sainthilarion,Saint-Hilarion,16050
Les Éboulements,3607717119,leseboulements,Les Éboulements,16048
Saint-Urbain,3607717120,sainturbain,Saint-Urbain,16055
L'Isle-aux-Coudres,3607717121,lisleauxcoudres,L'Isle-aux-Coudres,16023
Baie-Saint-Paul,3607717122,baiesaintpaul,Baie-Saint-Paul,16013
Petite-Rivière-Saint-François,3607717123,petiterivieresaintfrancois,Petite-Rivière-Saint-François,16005
Baie-Trinité,3607719053,baietrinite,Baie-Trinité,96005
Godbout,3607719054,godbout,Godbout,96010
Franquelin,3607719055,franquelin,Franquelin,96015
Baie-Comeau,3607719056,baiecomeau,Baie-Comeau,96020
Pointe-Lebel,3607719057,pointelebel,Pointe-Lebel,96025
Pointe-aux-Outardes,3607719058,pointeauxoutardes,Pointe-aux-Outardes,96030
Chute-aux-Outardes,3607719059,chuteauxoutardes,Chute-aux-Outardes,96035
Ragueneau,3607719060,ragueneau,Ragueneau,96040
Pessamit Innuat / Innus de Pessamit,3607719061,innusdepessamit,#N/A,#N/A
Colombier,3607719063,colombier,Colombier,95050
Forestville,3607719064,forestville,Forestville,95045
Portneuf-sur-Mer,3607719065,portneufsurmer,Portneuf-sur-Mer,95040
Longue-Rive,3607719066,longuerive,Longue-Rive,95032
Les Escoumins,3607719067,lesescoumins,Les Escoumins,95025
Les Bergeronnes,3607719068,lesbergeronnes,Les Bergeronnes,95018
Sacré-Coeur,3607719069,sacrecoeur,Sacré-Coeur,95010
Tadoussac,3607719070,tadoussac,Tadoussac,95005
ᑲᐛᐛᒋᑲᒪᒡ Kawawachikamach,3607722325,kawawachikamach,Kawawachikamach,99065
Lac-John,3607722326,lacjohn,Lac-John,97810
Matimekosh,3607722327,matimekosh,Matimekosh,97808
Schefferville,3607722328,schefferville,Schefferville,97040
Fermont,3607722329,fermont,Fermont,97035
Sept-Îles,3607722332,septiles,Sept-Îles,97007
Maliotenam,3607722333,maliotenam,Maliotenam,97804
Uashat,3607722334,uashat,Uashat,97802
Port-Cartier,3607722335,portcartier,Port-Cartier,97022
