nom,id,nom
Saint-Simon,3607927121,saintsimon
Saint-Barnabé-Sud,3607927122,saintbarnabesud
Saint-Jude,3607927123,saintjude
Saint-Bernard-de-Michaudville,3607927124,saintbernarddemichaudville
Saint-Liboire,3607927125,saintliboire
Saint-Valérien-de-Milton,3607927126,saintvaleriendemilton
Saint-Dominique,3607927127,saintdominique
Saint-Pie,3607927128,saintpie
Saint-Hyacinthe,3607927129,sainthyacinthe
La Présentation,3607927130,lapresentation
Sainte-Madeleine,3607927131,saintemadeleine
Sainte-Marie-Madeleine,3607927132,saintemariemadeleine
Saint-Damase,3607927133,saintdamase
Saint-David,3607932156,saintdavid
Saint-Gérard-Majella,3607932157,saintgerardmajella
Massueville,3607932158,massueville
Saint-Aimé,3607932159,saintaime
Yamaska,3607932160,yamaska
Saint-Robert,3607932161,saintrobert
Sainte-Anne-de-Sorel,3607932162,sainteannedesorel
Sainte-Victoire-de-Sorel,3607932163,saintevictoiredesorel
Sorel-Tracy,3607932164,soreltracy
Saint-Ours,3607932165,saintours
Saint-Roch-de-Richelieu,3607932166,saintrochderichelieu
Drummondville,3607932209,drummondville
Sainte-Brigitte-des-Saults,3607932210,saintebrigittedessaults
Notre-Dame-du-Bon-Conseil (village),3607932211,notredamedubonconseil
Notre-Dame-du-Bon-Conseil (paroisse),3607932212,notredamedubonconseil
Saint-Cyrille-de-Wendover,3607932213,saintcyrilledewendover
Saint-Lucien,3607932214,saintlucien
Saint-Félix-de-Kingsey,3607932215,saintfelixdekingsey
L'Avenir,3607932216,lavenir
Durham-Sud,3607932217,durhamsud
Lefebvre,3607932218,lefebvre
Wickham,3607932219,wickham
Saint-Germain-de-Grantham,3607932220,saintgermaindegrantham
Saint-Majorique-de-Grantham,3607932221,saintmajoriquedegrantham
Saint-Eugène,3607932222,sainteugene
Saint-Edmond-de-Grantham,3607932223,saintedmonddegrantham
Saint-Guillaume,3607932224,saintguillaume
Saint-Bonaventure,3607932225,saintbonaventure
Saint-Pie-de-Guire,3607932226,saintpiedeguire
Béthanie,3607932240,bethanie
Roxton Falls,3607932241,roxtonfalls
Roxton,3607932242,roxton
Sainte-Christine,3607932243,saintechristine
Acton Vale,3607932244,actonvale
Upton,3607932245,upton
Saint-Théodore-d'Acton,3607932246,sainttheodoredacton
Saint-Nazaire-d'Acton,3607932247,saintnazairedacton
Stoke,3607950472,stoke
Saint-Claude,3607950473,saintclaude
Val-Joli,3607950474,valjoli
Windsor,3607950475,windsor
Saint-François-Xavier-de-Brompton,3607950476,saintfrancoisxavierdebrompton
Saint-Denis-de-Brompton,3607950477,saintdenisdebrompton
Canton de Cleveland,3607950478,cantondecleveland
Ville de Richmond,3607950479,villederichmond
Canton de Melbourne,3607950480,cantondemelbourne
Kingsbury,3607950481,kingsbury
Ulverton,3607950482,ulverton
Racine,3607950483,racine
Maricourt,3607950484,maricourt
Valcourt (Canton),3607950485,valcourt
Valcourt (ville),3607950486,valcourt
Lawrenceville,3607950487,lawrenceville
Bonsecours,3607950488,bonsecours
Sainte-Anne-de-la-Rochelle,3607950489,sainteannedelarochelle
Eastman,3607950490,eastman
Stukely-Sud,3607950491,stukelysud
Hatley (Canton),3607953109,hatley
North Hatley,3607953110,northhatley
Hatley,3607953111,hatley
Ayer's Cliff,3607953112,ayerscliff
Sainte-Catherine-de-Hatley,3607953113,saintecatherinedehatley
Stanstead (Ville),3607953114,stanstead
Ogden,3607953115,ogden
Stanstead (Canton),3607953116,stanstead
Magog,3607953117,magog
Orford,3607953118,orford
Saint-Benoît-du-Lac,3607953119,saintbenoitdulac
Austin,3607953120,austin
Potton,3607953121,potton
Bolton-Est,3607953122,boltonest
Saint-Étienne-de-Bolton,3607953123,saintetiennedebolton
Saint-Venant-de-Paquette,3607953155,saintvenantdepaquette
East Hereford,3607953156,easthereford
Saint-Herménégilde,3607953157,sainthermenegilde
Saint-Malo,3607953158,saintmalo
Sainte-Edwidge-de-Clifton,3607953159,sainteedwidgedeclifton
Martinville,3607953160,martinville
Dixville,3607953161,dixville
Compton,3607953162,compton
Coaticook,3607953163,coaticook
Waterville,3607953164,waterville
Barnston-Ouest,3607953165,barnstonouest
Stanstead-Est,3607953166,stansteadest
Weedon,3607953228,weedon
Lingwick,3607953229,lingwick
Scotstown,3607953230,scotstown
Hampden,3607953231,hampden
Bury,3607953232,bury
Dudswell,3607953233,dudswell
East Angus,3607953234,eastangus
La Patrie,3607953235,lapatrie
Chartierville,3607953236,chartierville
Newport,3607953237,newport
Saint-Isidore-de-Clifton,3607953238,saintisidoredeclifton
Cookshire-Eaton,3607953239,cookshireeaton
Westbury,3607953240,westbury
Ascot Corner,3607953241,ascotcorner
Ham-Sud,3607997177,hamsud
Saint-Adrien,3607997178,saintadrien
Wotton,3607997179,wotton
Saint-Camille,3607997180,saintcamille
Saint-Georges-de-Windsor,3607997181,saintgeorgesdewindsor
Val-des-Sources,3607997182,valdessources
Danville,3607997183,danville
